"Total Outstanding","Общая задолженность"
"Total Unallocated","Всего нераспределено"
"Acknowledge the error to resume scanning","Подтвердите ошибку, чтобы возобновить сканирование"
"Acknowledge the error to resume scanning.","Подтвердите ошибку, чтобы возобновить сканирование."
"Across","Через / По"
"Add New Address","Добавить новый адрес"
"Additional Discount %","Дополнительная скидка %"
"Address not found","Адрес не найден"
"Adjust the quantity or enable negative stock to continue.","Отрегулируйте количество или разрешите отрицательные остатки, чтобы продолжить."
"After returns","После возвратов"
"All Caught Up!","Всё готово!"
"All Synchronized","Все синхронизировано"
"All invoices are synchronized","Все счета синхронизированы"
"All pending invoices are up to date","Все ожидающие счета актуальны"
"Allocated {0} across {1} payment(s).","Распределено {0} по {1} платежам."
"Allocation amount for payment {0} exceeds outstanding invoices","Сумма распределения для платежа {0} превышает сумму неоплаченных счетов"
"Allow Change Posting Date","Разрешить изменение даты проводки"
"Allow Create Sales Order","Разрешить создание заказа клиента"
"Allow Credit Sale","Разрешить продажу в кредит"
"Allow Customer Purchase Order","Разрешить заказ на покупку от клиента"
"Allow Duplicate Customer Names","Разрешить дублирование имен клиентов"
"Allow Free Batch Return","Разрешить свободный возврат партии"
"Allow Make New Payments","Разрешить создание новых платежей"
"Allow Mpesa Reconcile Payments","Разрешить сверку платежей Mpesa"
"Allow Multi Currency in POS","Разрешить мультивалютность в POS"
"Allow Partial Payment","Разрешить частичную оплату"
"Allow Print Draft Invoices","Разрешить печать черновиков счетов"
"Allow Print Last Invoice","Разрешить печать последнего счета"
"Allow Reconcile Payments","Разрешить сверку платежей"
"Allow Return","Разрешить возврат"
"Allow Return Without Invoice","Разрешить возврат без счета"
"Allow Select Sales Order","Разрешить выбор заказа клиента"
"Allow Submissions in background job","Разрешить отправку в фоновом режиме"
"Allow User to Edit Item Discount","Разрешить пользователю редактировать скидку на товар"
"Allow Write Off Change","Разрешить списание сдачи"
"Allow Zero Rated Items","Разрешить товары с нулевой ставкой"
"Allow add New Items on New Line","Разрешить добавление новых товаров на новую строку"
"Allow user to edit Additional Discount","Разрешить пользователю редактировать дополнительную скидку"
"Allow user to edit Rate","Разрешить пользователю редактировать цену"
"Always fetch items from server (ignore local cache)","Всегда загружать товары с сервера (игнорировать локальный кэш)"
"An unexpected error occurred. Please check the console for details.","Произошла непредвиденная ошибка. Пожалуйста, проверьте консоль для подробностей."
"App information","Информация о приложении"
"Apply Customer Discount","Применить скидку клиента"
"Apply For","Применить для"
"Apply For POS Profiles","Применить для профилей POS"
"Apply Offer","Применить предложение"
"Apply Offers","Применить предложения"
"Apply Type","Тип применения"
"Apps","Приложения"
"Are you sure you want to close? All entered data will be lost.","Вы уверены, что хотите закрыть? Все введенные данные будут потеряны."
"Auto Apply","Автоматическое применение"
"Auto Create Referral For New Customers","Автоматически создавать реферала для новых клиентов"
"Auto Delete Draft Invoice","Автоматически удалять черновик счета"
"Auto Fetch Coupon Gifts","Автоматическое получение подарков по купонам"
"Auto Reconcile","Автоматическая сверка"
"Auto Set Batch","Автоматическая установка партии"
"Auto Set Delivery Charges","Автоматическая установка стоимости доставки"
"Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.","Автоматическая сверка завершена. Распределено: {0}{1}. Оставшаяся задолженность: {0}{2}."
"Auto reconciliation is unavailable while offline.","Автоматическая сверка недоступна в автономном режиме."
"Available Credit","Доступный кредит"
"Available QTY","Доступное кол-во"
"Average Ticket","Средний чек"
"Awesome","Отлично"
"Back","Назад"
"Background Submission Failed","Сбой фоновой отправки"
"Background processing failed for Invoice {0}: {1}","Фоновая обработка не удалась для счета {0}: {1}"
"Background sync interval (seconds)","Интервал фоновой синхронизации (секунды)"
"Balance will be updated when connection is restored","Баланс будет обновлен при восстановлении соединения"
"Barcode Structure","Структура штрих-кода"
"Basic Information","Основная информация"
"Batch Information","Информация о партии"
"Batch No Expiry Date","Срок годности партии"
"Batch No. Available QTY","Доступное кол-во партии"
"Before returns","До возвратов"
"Bill Ref Number","Номер счета-фактуры"
"Birthday","День рождения"
"Birthday (DD-MM-YYYY)","День рождения (ДД-ММ-ГГГГ)"
"Build Time:","Время сборки:"
"Built with Frappe","Сделано на Frappe"
"Bundle","Комплект"
"Business Short Code","Короткий код бизнеса"
"Business Shortcode","Короткий код бизнеса"
"Cache Usage","Использование кэша"
"Cache cleared successfully","Кэш успешно очищен"
"Cache the values for n minutes","Кэшировать значения на n минут"
"Calculating...","Расчет..."
"Camera Access Required","Требуется доступ к камере"
"Camera Scan Type","Тип сканирования камеры"
"Camera access was aborted. Please try again.","Доступ к камере был прерван. Пожалуйста, попробуйте еще раз."
"Camera constraints not supported by your device. Trying fallback settings...","Ограничения камеры не поддерживаются вашим устройством. Попытка использовать резервные настройки..."
"Camera permission denied. Please allow camera access in your browser settings and refresh the page.","Доступ к камере отклонен. Пожалуйста, разрешите доступ к камере в настройках вашего браузера и обновите страницу."
"Cancel Payment","Отменить платеж"
"Cancel Sale","Отменить продажу"
"Cancel Sale ?","Отменить продажу?"
"Cannot Save Offline Invoice:","Cannot Save Offline Invoice:"
"Cannot Save Offline Payment:","Cannot Save Offline Payment:"
"Cannot add an item with zero or negative quantity.","Нельзя добавить товар с нулевым или отрицательным количеством."
"Cannot clear cache while offline","Нельзя очистить кэш в автономном режиме"
"Cannot reload items while offline. Please connect to the internet.","Нельзя перезагрузить товары в автономном режиме. Пожалуйста, подключитесь к интернету."
"Cash Drawer Snapshot","Снимок денежного ящика"
"Cash Mode of Payment","Наличный способ оплаты"
"Cash back to customers","Возврат наличных клиентам"
"Cashback?","Кэшбэк?"
"Change Language","Изменить язык"
"Change Price","Изменить цену"
"Change Returned","Сдача возвращена"
"Change interface language","Изменить язык интерфейса"
"Charges not found","Начисления не найдены"
"Check cache and performance","Проверить кэш и производительность"
"Choose your preferred language for the POS interface","Выберите предпочтительный язык интерфейса POS"
"Clear All","Очистить все"
"Clear Cache","Очистить кэш"
"Clear Search","Очистить поиск"
"Clearing local cache...","Очистка локального кэша..."
"Click to refresh","Нажмите для обновления"
"Close Dialog","Закрыть диалог"
"Close Scanner","Закрыть сканер"
"Close Settings","Закрыть настройки"
