"Total Outstanding","Ҳамагӣ қарзӣ"
"Total Unallocated","Ҳамагӣ тақсимнашуда"
"Acknowledge the error to resume scanning","Хатогиро тасдиқ кунед, то сканеркуниро давом диҳед"
"Acknowledge the error to resume scanning.","Хатогиро тасдиқ кунед, то сканеркуниро давом диҳед."
"Across","Тавассути / Дар"
"Add New Address","Иловаи суроғаи нав"
"Additional Discount %","Тахфифи иловагӣ %"
"Address not found","Суроға ёфт нашуд"
"Adjust the quantity or enable negative stock to continue.","Миқдорро танзим кунед ё бақияи манфиро иҷозат диҳед, то давом диҳед."
"After returns","Пас аз баргардонидан"
"All Caught Up!","Ҳамааш тайёр!"
"All Synchronized","Ҳамааш ҳамоҳанг шуд"
"All invoices are synchronized","Ҳамаи ҳисобномаҳо ҳамоҳанг шудаанд"
"All pending invoices are up to date","Ҳамаи ҳисобномаҳои интизорӣ муосиранд"
"Allocated {0} across {1} payment(s).","{0} дар байни {1} пардохт(ҳо) тақсим карда шуд."
"Allocation amount for payment {0} exceeds outstanding invoices","Маблағи тақсимшуда барои пардохти {0} аз ҳисобномаҳои қарзӣ зиёд аст"
"Allow Change Posting Date","Иҷозати тағйири санаи гузарониш"
"Allow Create Sales Order","Иҷозати сохтани фармоиши фурӯш"
"Allow Credit Sale","Иҷозати фурӯши қарзӣ"
"Allow Customer Purchase Order","Иҷозати фармоиши хариди муштарӣ"
"Allow Duplicate Customer Names","Иҷозати номҳои такрории муштариён"
"Allow Free Batch Return","Иҷозати баргардонидани озоди партия"
"Allow Make New Payments","Иҷозати сохтани пардохтҳои нав"
"Allow Mpesa Reconcile Payments","Иҷозати муқоисаи пардохтҳои Mpesa"
"Allow Multi Currency in POS","Иҷозати бисёрвалютӣ дар POS"
"Allow Partial Payment","Иҷозати пардохти қисмӣ"
"Allow Print Draft Invoices","Иҷозати чопи ҳисобномаҳои сиёҳнавис"
"Allow Print Last Invoice","Иҷозати чопи ҳисобномаи охирин"
"Allow Reconcile Payments","Иҷозати муқоисаи пардохтҳо"
"Allow Return","Иҷозати баргардонидан"
"Allow Return Without Invoice","Иҷозати баргардонидан бидуни ҳисобнома"
"Allow Select Sales Order","Иҷозати интихоби фармоиши фурӯш"
"Allow Submissions in background job","Иҷозати фиристодан дар замина"
"Allow User to Edit Item Discount","Иҷозати таҳрири тахфифи мол"
"Allow Write Off Change","Иҷозати азҳисоббарии бақия"
"Allow Zero Rated Items","Иҷозати молҳои дорои меъёри сифрӣ"
"Allow add New Items on New Line","Иҷозати иловаи молҳои нав дар сатри нав"
"Allow user to edit Additional Discount","Иҷозати таҳрири тахфифи иловагӣ"
"Allow user to edit Rate","Иҷозати таҳрири нарх"
"Always fetch items from server (ignore local cache)","Ҳамеша молҳоро аз сервер гиред (кеши маҳаллиро сарфи назар кунед)"
"An unexpected error occurred. Please check the console for details.","Хатои ғайричашмдошт рух дод. Барои тафсилот консолро санҷед."
"App information","Маълумоти барнома"
"Apply Customer Discount","Татбиқи тахфифи муштарӣ"
"Apply For","Татбиқ барои"
"Apply For POS Profiles","Татбиқ барои профилҳои POS"
"Apply Offer","Татбиқи пешниҳод"
"Apply Offers","Татбиқи пешниҳодҳо"
"Apply Type","Намуди татбиқ"
"Apps","Барномаҳо"
"Are you sure you want to close? All entered data will be lost.","Оё боварӣ доред, ки мехоҳед бандед? Ҳамаи маълумоти воридшуда гум мешавад."
"Auto Apply","Татбиқи худкор"
"Auto Create Referral For New Customers","Сохтани худкори реферал барои муштариёни нав"
"Auto Delete Draft Invoice","Несткунии худкори ҳисобномаи сиёҳнавис"
"Auto Fetch Coupon Gifts","Гирифтани худкори туҳфаҳои купонӣ"
"Auto Reconcile","Муқоисаи худкор"
"Auto Set Batch","Татбиқи худкори партия"
"Auto Set Delivery Charges","Татбиқи худкори хароҷоти интиқол"
"Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.","Муқоисаи худкор анҷом ёфт. Тақсим шуд: {0}{1}. Қарзи боқимонда: {0}{2}."
"Auto reconciliation is unavailable while offline.","Муқоисаи худкор дар ҳолати офлайн дастнорас аст."
"Available Credit","Қарзи дастрас"
"Available QTY","Миқдори дастрас"
"Average Ticket","Чиптаи миёна"
"Awesome","Олиҷаноб"
"Back","Бозгашт"
"Background Submission Failed","Фиристодан дар замина ноком шуд"
"Background processing failed for Invoice {0}: {1}","Коркард дар замина барои ҳисобномаи {0} ноком шуд: {1}"
"Background sync interval (seconds)","Фосилаи ҳамоҳангсозӣ дар замина (сония)"
